Feature,Importance
EDU_MOTHER_Ninguno,3.89809866264683e-06
PEOPLE_HOUSE_0,3.8040788950136287e-06
COD_S11_SB11201220287858,3.8031629014331005e-06
UNIVERSITY_UNIVERSIDAD COOPERATIVA DE COLOMBIA-MEDELLIN,3.7646357346682774e-06
"JOB_Yes, 20 hours or more per week",3.7480000224846526e-06
UNIVERSITY_UNIVERSIDAD DE CARTAGENA-CARTAGENA,3.693926866936102e-06
COD_S11_SB11201310005625,3.4802452653455767e-06
UNIVERSITY_CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,3.4734692460934725e-06
UNIVERSITY_FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C.,3.3239790186752557e-06
Cod_SPro_EK201830008464,3.301313252342202e-06
UNIVERSITY_CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-GIRARDOT,3.209958805837394e-06
SCHOOL_NAME_COLEGIO LAS AMERICAS (IED),3.1057195032092047e-06
UNIVERSITY_UNIVERSIDAD SURCOLOMBIANA-NEIVA,3.0598101091475536e-06
"UNIVERSITY_POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",3.058466029048337e-06
UNIVERSITY_UNIVERSIDAD DE NARIÑO-PASTO,2.92575983057772e-06
SCHOOL_NAME_CIUDADELA DEL SUR,2.7885783554606807e-06
UNIVERSITY_CORPORACION UNIVERSITARIA DEL CARIBE - CECAR-SINCELEJO,2.7579296580860447e-06
UNIVERSITY_UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,2.740592087425189e-06
UNIVERSITY_CORPORACION UNIVERSITARIA LASALLISTA-CALDAS,2.7303682970989045e-06
UNIVERSITY_UNIVERSIDAD PONTIFICIA BOLIVARIANA-BUCARAMANGA,2.701266317969491e-06
SCHOOL_NAME_COLEGIO NUESTRA SEÑORA DE NAZARETH,2.6830400183826883e-06
UNIVERSITY_CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA-POPAYAN,2.6618561574143515e-06
SCHOOL_NAME_COLEGIO DEL ROSARIO CAMPESTRE,2.624923414352313e-06
SCHOOL_NAME_COLEGIO LA FLORESTA SUR (IED),2.615097591816086e-06
UNIVERSITY_UNIVERSIDAD DEL CAUCA-POPAYAN,2.517912816200459e-06
SISBEN_0,2.338387682739669e-06
Cod_SPro_EK201830023253,2.320382155743258e-06
Cod_SPro_EK201830173662,2.2869226981860445e-06
UNIVERSITY_INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,2.2792561855802977e-06
UNIVERSITY_UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,2.2670517842059568e-06
UNIVERSITY_FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C.,2.2559534752528702e-06
UNIVERSITY_UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,2.2495892671784022e-06
UNIVERSITY_UNIVERSIDAD DE SAN BUENAVENTURA-MEDELLIN,2.2184072101061624e-06
UNIVERSITY_UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,2.165563278417989e-06
EDU_FATHER_Incomplete technical or technological,2.1516798003694674e-06
SCHOOL_NAME_COLEGIO AMERICANO,2.1377429780713135e-06
COD_S11_SB11201220451550,2.1342084605103763e-06
SCHOOL_NAME_COL REFOUS,2.0753631046792874e-06
SCHOOL_NAME_COL DE LA PRESENTACION SANS FACON,2.0691650974695433e-06
REVENUE_less than 1 LMMW,2.059636898092702e-06
SCHOOL_NAME_COL SAN CARLOS                                                                                      ,2.0367830818606325e-06
Cod_SPro_EK201830153517,1.9940287332486718e-06
UNIVERSITY_UNIVERSIDAD EAN-BOGOTÁ D.C.,1.993654182713613e-06
ACADEMIC_PROGRAM_ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,1.9818408846893695e-06
Cod_SPro_EK201830217025,1.9272903059810844e-06
Cod_SPro_EK201830008269,1.9185562240202184e-06
SCHOOL_NAME_INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,1.9062052378013386e-06
UNIVERSITY_CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE-SINCELEJO,1.8697750804044837e-06
UNIVERSITY_UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,1.8630026409071332e-06
PEOPLE_HOUSE_Four,1.8601414949393876e-06
ACADEMIC_PROGRAM_MECHATRONICS ENGINEERING,1.8469328058372156e-06
"UNIVERSITY_CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",1.841340708131307e-06
COD_S11_SB11201320158576,1.8244469203525351e-06
Cod_SPro_EK201830191794,1.8003744178121771e-06
UNIVERSITY_UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCAÑA,1.773281965615559e-06
SCHOOL_NAME_FUND COL CLARA CASAS MORALES,1.7673396527255467e-06
UNIVERSITY_UNIVERSIDAD SIMON BOLIVAR-BARRANQUILLA,1.7575790707335284e-06
SCHOOL_NAME_COLEGIO SAN JOSE - SEDE CHAMPAGNAT,1.75713226820035e-06
ACADEMIC_PROGRAM_AUTOMATION ENGINEERING,1.7366911416491872e-06
